Folio interno,Nombre de la mascota ,Sexo,Tamaño,Grupo etario
420,Bitu,Macho,Mediano,Adulto
421,Ihiyotl,Macho,Grande,Adulto
422,Ilhuitzin,Hembra,Mediano,Adulto
423,Itzmolini,Macho,Mediano,Adulto
424,Ixtiyac,Hembra,Mediano,Adulto
425,Macuilli,Hembra,Grande,Adulto
426,Othi,Macho,Mediano,Adulto
427,Omitl,Macho,Mediano,Geriatrico
428,Neltiliztli,Hembra,Mediano,Adulto
429,Mazatzin,Hembra,Mediano,Adulto
430,Huitzilxochitl,Hembra,Mediano,Adulto
431,Patli,Hembra,Chico,Adulto
432,Teuhtli,Macho,Grande,Adulto
433,Quiahui,Hembra,Mediano,Adulto
434,Hyadi,Hembra,Mediano,Adulto
435,Tecpilli,Hembra,Grande,Adulto
436,Kutsi,Macho,Mediano,Adulto
437,Qualli,Hembra,Mediano,Adulto
438,Tiachcauh,Macho,Mediano,Adulto
439,Tlacuilo,Macho,Mediano,Adulto
440,Tika,Hembra,Mediano,Adulto
441,Iztac,Hembra,Mediano,Adulto
442,Tlazohtli,Hembra,Mediano,Geriatrico
443,Tototzin,Hembra,Grande,Adulto
444,Tzacualli,Macho,Mediano,Geriatrico
445,Tzapotzin,Hembra,Mediano,Geriatrico
446,Xiuhtecuhtli,Hembra,Mediano,Geriatrico
447,Yacatl,Macho,Mediano,Adulto
448,Ameyaltl,Hembra,Grande,Adulto
449,Xochimilcatl,Hembra,Chico,Adulto
450,Yancuictlal,Macho,Mediano,Geriatrico
451,Yolyamanitzin,Macho,Mediano,Geriatrico
452,Bax,Macho,Mediano,Adulto
453,Ah Kin,Hembra,Grande,Adulto
454,Balamil,Hembra,Mediano,Geriatrico
455,Tiza,Hembra,Mediano,Geriatrico
457,Chaltun,Macho,Mediano,Geriatrico
458,Che,Macho,Grande,Adulto
459,Duchi,Macho,Mediano,Adulto
460,Ek,Hembra,Grande,Adulto
462,Yen,Hembra,Mediano,Adulto
463,Ha,Hembra,Mediano,Geriatrico
464,Halach,Macho,Grande,Adulto
465,Itzmin,Hembra,Mediano,Adulto
466,Kab,Hembra,Chico,Adulto
467,Kabah,Hembra,Mediano,Geriatrico
468,Kaanbal,Macho,Mediano,Adulto
469,Kan,Hembra,Chico,Adulto
470,Kik,Hembra,Mediano,Adulto
472,Kaanil,Hembra,Mediano,Adulto
473,Lobil,Macho,Mediano,Geriatrico
474,Lu'um,Hembra,Mediano,Geriatrico
475,Na,Hembra,Chico,Geriatrico
476,Mukuy,Hembra,Mediano,Geriatrico
478,Maax,Macho,Chico,Adulto
479,Otoch,Macho,Mediano,Geriatrico
480,Nal,Hembra,Grande,Adulto
481,Pakal,Macho,Mediano,Geriatrico
482,Pek,Macho,Grande,Geriatrico
483,Pom,Hembra,Mediano,Geriatrico
484,Puuc,Hembra,Mediano,Adulto
485,Sihil,Hembra,Mediano,Geriatrico
486,Tza,Hembra,Mediano,Adulto
487,Taman,Macho,Mediano,Adulto
488,Te,Macho,Mediano,Geriatrico
489,Ti'ho,Macho,Grande,Geriatrico
490,Tok,Macho,Mediano,Geriatrico
491,Tun,Macho,Mediano,Geriatrico
492,Taab,Macho,Grande,Geriatrico
493,Uinicil,Macho,Grande,Geriatrico
494,Yaxkin,Hembra,Grande,Geriatrico
495,Xook,Macho,Mediano,Adulto
497,Way,Macho,Mediano,Geriatrico
498,Zian,Hembra,Mediano,Adulto
499,Niza,Hembra,Mediano,Geriatrico
501,Beni,Macho,Mediano,Geriatrico
502,Lulaa,Hembra,Grande,Geriatrico
503,Nahui,Hembra,Mediano,Adulto
504,Amalinal,Hembra,Mediano,Geriatrico
505,Huactli,Hembra,Mediano,Adulto
506,Tiripeti,Hembra,Mediano,Adulto
507,Poctli,Hembra,Mediano,Adulto
508,Tonatzin,Hembra,Grande,Adulto
509,Zoyatl,Hembra,Mediano,Adulto
510,Tecpatl,Hembra,Grande,Adulto
511,Oloxochitl,Hembra,Mediano,Adulto
512,Ahuehuetl,Macho,Mediano,Adulto
513,Axochco,Hembra,Mediano,Geriatrico
514,Tex,Macho,Grande,Geriatrico
515,Acuexcomatl,Hembra,Mediano,Geriatrico
516,Oyametl,Macho,Mediano,Geriatrico
517,Aztlan,Macho,Mediano,Geriatrico
518,Xochinahuac,Macho,Mediano,Geriatrico
519,Tepozan,Macho,Grande,Geriatrico
520,Amacuzac,Macho,Mediano,Geriatrico
521,Chicomexochitl,Hembra,Mediano,Adulto
522,Tlalocamatl,Hembra,Mediano,Geriatrico
523,Tlilapan,Hembra,Mediano,Geriatrico
524,Axochiatl,Hembra,Grande,Geriatrico
525,Altepetzin,Hembra,Mediano,Geriatrico
526,Chalchiuhtepetl,Hembra,Grande,Adulto
527,Yolotepetl,Hembra,Grande,Adulto
528,Citlaltepetl,Hembra,Mediano,Adulto
529,Kíilbal,Macho,Grande,Adulto
531,Iztacapan,Hembra,Mediano,Geriatrico
532,Xoxoapan,Hembra,Chico,Adulto
533,Tehe,Macho,Chico,Adulto
534,Chilli,Macho,Mediano,Geriatrico
535,Itun,Hembra,Chico,Adulto
536,Ini,Hembra,Mediano,Adulto
537,Yoti,Hembra,Chico,Adulto
538,Luba,Hembra,Mediano,Adulto
539,Akun,Hembra,Mediano,Adulto
540,Za nisa,Hembra,Mediano,Adulto
541,Cuautepec,Macho,Mediano,Adulto
542,Dehe xui,Hembra,Mediano,Adulto
543,Xicohtzin,Hembra,Chico,Adulto
544,Temazcalli,Hembra,Mediano,Adulto
545,Batha,Hembra,Mediano,Adulto
546,Vixi,Hembra,Chico,Adulto
547,Ehecatepetl,Macho,Mediano,Geriatrico
548,Tsanda,Hembra,Mediano,Adulto
549,Yuku,Macho,Mediano,Geriatrico
550,Tzinacantlan,Macho,Mediano,Adulto
551,Cuauhtlixtli,Macho,Mediano,Adulto
552,Ocelotzinco,Macho,Mediano,Adulto
553,Hueycuauhtli,Hembra,Mediano,Adulto
554,Miztontli,Hembra,Mediano,Adulto
555,Ehecatochtli,Hembra,Mediano,Adulto
556,Tletlocelotl,Hembra,Mediano,Geriatrico
557,Yolcuauhtli,Hembra,Mediano,Geriatrico
558,Xochimazatl,Hembra,Mediano,Geriatrico
559,Iztaccoyotl,Hembra,Mediano,Adulto
560,Tlilmazatl,Hembra,Grande,Adulto
561,Chichilcoatl,Macho,Grande,Adulto
562,Tochtepetl,Macho,Grande,Adulto
563,Cozauhqui,Hembra,Chico,Geriatrico
564,Mezcal,Macho,Chico,Adulto
565,Tepilmazatl,Macho,Chico,Geriatrico
566,Ocotzin,Macho,Grande,Adulto
567,Yolyamanic,Hembra,Mediano,Geriatrico
568,Tlanextic,Macho,Grande,Adulto
569,Cuauhtzinco,Macho,Mediano,Adulto
570,Centeotzin,Hembra,Mediano,Geriatrico
571,Chalchiuhnenetl,Macho,Mediano,Adulto
572,Xoxouhqui,Hembra,Mediano,Adulto
573,Ezpitzalli,Macho,Grande,Adulto
574,Huematzin,Hembra,Mediano,Geriatrico
575,Ilhuitcatl,Hembra,Grande,Adulto
576,Itzmolincan,Macho,Mediano,Adulto
577,Coyolillo,Macho,Grande,Geriatrico
578,Quetzaltototl,Macho,Mediano,Geriatrico
579,Ahkinxoc,Macho,Mediano,Geriatrico
580,Teotlalpan,Hembra,Grande,Geriatrico
581,Tlacatecolotl,Hembra,Mediano,Adulto
582,Tlanextzin,Hembra,Mediano,Geriatrico
583,Tlazohtzinco,Hembra,Mediano,Geriatrico
584,Tecpatzin,Hembra,Chico,Adulto
585,Ahuian,Hembra,Grande,Adulto
586,Yacatli,Hembra,Mediano,Geriatrico
587,Zacualco,Macho,Grande,Geriatrico
588,Nahuacatzin,Hembra,Mediano,Geriatrico
589,Balamtun,Hembra,Grande,Adulto
590,Chacmool,Macho,Grande,Geriatrico
591,Ekbalam,Macho,Mediano,Geriatrico
592,Ixbablu,Macho,Mediano,Adulto
593,Kaanal,Macho,Mediano,Geriatrico
594,Kinich,Macho,Grande,Geriatrico
595,Kukulkan,Hembra,Mediano,Geriatrico
596,Lahún,Hembra,Mediano,Adulto
597,Nohochkabal,Hembra,Mediano,Adulto
598,Sasil,Macho,Mediano,Geriatrico
599,Tumben,Macho,Grande,Adulto
600,Uxmal,Macho,Mediano,Adulto
601,Xamanek,Macho,Grande,Geriatrico
602,Yaax,Macho,Grande,Adulto
603,Zacilha,Hembra,Mediano,Adulto
604,Naxhi,Hembra,Grande,Geriatrico
605,Danisba,Hembra,Mediano,Geriatrico
606,Guelaguetza,Hembra,Mediano,Adulto
607,Laxopa,Hembra,Mediano,Adulto
608,Bidoo,Macho,Grande,Adulto
609,Pitao,Macho,Grande,Adulto
610,Xabizaa,Macho,Grande,Geriatrico
611,Yubidza,Macho,Mediano,Adulto
612,Zaachila,Hembra,Mediano,Adulto
613,Zianya,Hembra,Mediano,Adulto
614,Atonaltzin,Hembra,Mediano,Adulto
615,Dzahui,Hembra,Mediano,Adulto
616,Tindoo,Macho,Mediano,Adulto
617,Ndicandii,Hembra,Grande,Adulto
618,Ñuu,Hembra,Chico,Adulto
619,Sananda,Hembra,Mediano,Geriatrico
620,Itaandehui,Hembra,Mediano,Adulto
621,Vehe,Macho,Grande,Adulto
622,Xina,Hembra,Mediano,Adulto
623,Yatin,Macho,Mediano,Adulto
624,Akamba,Hembra,Mediano,Geriatrico
625,Charaku,Macho,Mediano,Adulto
627,Eratzini,Macho,Mediano,Adulto
628,Iripan,Macho,Chico,Adulto
629,Janintzi,Hembra,Grande,Geriatrico
631,Kurikaveri,Hembra,Mediano,Geriatrico
632,Mintziri,Hembra,Mediano,Geriatrico
633,K'eri,Macho,Mediano,Adulto
634,Tariata,Hembra,Grande,Adulto
635,Uandari,Macho,Grande,Adulto
636,Xucupan,Hembra,Mediano,Adulto
637,Yuriri,Macho,Grande,Adulto
638,Zirahuén,Macho,Mediano,Adulto
639,Acalxochitl,Hembra,Mediano,Adulto
640,Aticapan,Macho,Mediano,Geriatrico
641,Aztecatepetl,Hembra,Mediano,Geriatrico
642,Calmécac,Macho,Mediano,Adulto
643,Chalchiuhtli,Macho,Mediano,Adulto
644,Chimalli,Hembra,Grande,Adulto
645,Cihuapilli,Hembra,Mediano,Adulto
646,Cinteotl,Macho,Mediano,Geriatrico
647,Cuicayan,Hembra,Mediano,Adulto
648,Meztlixochitl,Hembra,Grande,Adulto
649,Huitz,Hembra,Grande,Adulto
650,Ilhuicatlán,Hembra,Mediano,Adulto
651,Iztaccíhuatl,Hembra,Grande,Adulto
652,Macuilcuetzpalin,Hembra,Mediano,Adulto
653,Yau,Macho,Mediano,Geriatrico
654,Nahuapilli,Hembra,Grande,Geriatrico
655,Omeihuitl,Hembra,Mediano,Adulto
656,Panquetzaliztli,Hembra,Mediano,Adulto
657,Quetzalmamalitzin,Hembra,Mediano,Geriatrico
658,Ina,Hembra,Mediano,Geriatrico
659,Ena,Hembra,Mediano,Adulto
660,Lirio,Hembra,Mediano,Geriatrico
661,Tlaltonatiuh,Macho,Mediano,Geriatrico
662,Etail,Hembra,Mediano,Adulto
663,Xilonentzin,Hembra,Mediano,Adulto
664,Yohuallixtli,Hembra,Mediano,Geriatrico
665,Zacamilli,Macho,Grande,Geriatrico
666,Acamapichtzin,Hembra,Mediano,Geriatrico
667,Axayacatl ,Hembra,Mediano,Geriatrico
668,Axayacatzin,Macho,Mediano,Geriatrico
669,Bidxii,Hembra,Mediano,Adulto
670,Japu,Hembra,Grande,Adulto
671,Xuncu,Hembra,Mediano,Adulto
672,Tenochtzin,Hembra,Mediano,Adulto
673,Tizoc,Hembra,Grande,Adulto
674,Tlacaeleltzin,Hembra,Mediano,Adulto
675,Xolotzin,Macho,Mediano,Geriatrico
676,Mali,Hembra,Mediano,Adulto
677,Acamapilli,Hembra,Mediano,Adulto
678,Yoo tnee,Hembra,Mediano,Adulto
679,Ameyalton,Hembra,Mediano,Geriatrico
680,Atzinco,Hembra,Grande,Adulto
681,Fili,Macho,Mediano,Adulto
682,Sabak,Macho,Mediano,Adulto
683,Cihuacalli,Hembra,Grande,Adulto
684,Coatlicue,Hembra,Mediano,Adulto
685,Mine,Hembra,Grande,Adulto
686,Ehecaquiahuitl,Macho,Mediano,Adulto
687,Huapalcalco,Macho,Mediano,Adulto
688,Dali,Hembra,Mediano,Adulto
689,Ixtlilxochitl,Hembra,Mediano,Adulto
690,Izcatepec,Hembra,Mediano,Adulto
691,Yu ,Macho,Grande,Adulto
692,Andivi,Macho,Grande,Adulto
694,Nantzin,Hembra,Grande,Adulto
695,Nopal,Macho,Mediano,Geriatrico
696,Itz,Macho,Mediano,Adulto
697,Iñi,Macho,Mediano,Adulto
698,Tamoa,Hembra,Mediano,Geriatrico
700,Tepoztecatl,Hembra,Mediano,Adulto
701,Xoco,Macho,Mediano,Adulto
702,Rino,Macho,Mediano,Adulto
703,Sid,Macho,Grande,Adulto
704,Xolotlcan,Hembra,Mediano,Adulto
705,Yacatzinco,Macho,Grande,Adulto
707,Yolo,Macho,Mediano,Geriatrico
709,Yaga,Hembra,Mediano,Adulto
710,Cacao,Macho,Mediano,Adulto
711,Luba',Hembra,Mediano,Adulto
712,Guixi,Macho,Mediano,Adulto
713,Nduku,Macho,Mediano,Geriatrico
714,Maguey,Hembra,Mediano,Adulto
715,Nieblita,Hembra,Grande,Adulto
716,Muyal,Macho,Mediano,Adulto
717,Sayab,Hembra,Mediano,Adulto
718,Yuuva,Hembra,Grande,Adulto
719,Ceiba,Hembra,Grande,Adulto
720,Jantsiri,Hembra,Mediano,Adulto
721,Tiví,Hembra,Mediano,Adulto
723,Yutnu,Hembra,Mediano,Adulto
724,Yaxal,Hembra,Mediano,Adulto
725,Tzuni,Macho,Mediano,Adulto
726,Xini,Hembra,Mediano,Adulto
727,Xah,Macho,Mediano,Adulto
728,Xui,Macho,Mediano,Adulto
729,Kuta,Hembra,Mediano,Adulto
730,Oyame,Macho,Grande,Adulto
731,Kun,Macho,Mediano,Adulto
732,Ceibita,Hembra,Mediano,Adulto
733,Teoloyucan,Hembra,Mediano,Adulto
734,Tepetlixpa,Hembra,Grande,Adulto
735,cielo,Hembra,Mediano,Adulto
736,Niebla,Macho,Mediano,Adulto
737,Abies,Macho,Mediano,Adulto
738,Cedro,Macho,Mediano,Adulto
739,Dongo,Hembra,Mediano,Adulto
740,Colorin,Hembra,Mediano,Adulto
741,Cempa,Hembra,Mediano,Adulto
742,Tonali,Hembra,Mediano,Adulto
743,Segi,Macho,Grande,Adulto
744,Luna,Hembra,Grande,Adulto
745,Nzaki,Macho,Grande,Adulto
746,Tlaloc,Hembra,Mediano,Adulto
747,Chaac,Macho,Grande,Adulto
748,Muti,Macho,Mediano,Adulto
749,Choom,Hembra,Grande,Adulto
751,Haab,Macho,Mediano,Adulto
752,Zina,Macho,Grande,Adulto
753,Kuini,Macho,Grande,Adulto
754,Japunda,Hembra,Mediano,Adulto
755,Hai,Hembra,Grande,Adulto
756,Aura,Hembra,Grande,Adulto
757,Biaani,Hembra,Mediano,Adulto
758,Khu,Macho,Mediano,Adulto
759,Bedi,Hembra,Grande,Adulto
760,Zana,Hembra,Mediano,Adulto
761,Buxka,Hembra,Grande,Adulto
762,Xaha,Macho,Grande,Adulto
763,Soka,Macho,Mediano,Adulto
764,Eztel,Hembra,Grande,Adulto
765,Kook,Macho,Mediano,Adulto
766,Bigu,Hembra,Mediano,Adulto
768,Cent,Hembra,Mediano,Adulto
769,YuuKuan,Macho,Mediano,Adulto
770,Utsil,Macho,Mediano,Adulto
771,Xalxalli,Hembra,Chico,Adulto
772,Urapeti,Macho,Mediano,Adulto
773,Cuisi,Hembra,Grande,Adulto
775,Naquichi,Hembra,Mediano,Adulto
776,Itsï,Hembra,Grande,Adulto
777,Xihuitl,Macho,Mediano,Geriatrico
778,Kuii,Macho,Grande,Adulto
779,Mixiuhca,Hembra,Mediano,Adulto
780,Zoquitl,Macho,Grande,Adulto
782,Cetl,Hembra,Grande,Adulto
783,Xolo,Macho,Mediano,Adulto
784,Ozolc,Macho,Mediano,Adulto
785,Tsibi,Macho,Mediano,Adulto
786,Hueyatl,Hembra,Grande,Adulto
787,Yahui,Macho,Grande,Adulto
788,Uákusi,Hembra,Grande,Adulto
789,Yáha,Hembra,Mediano,Adulto
790,Biulú,Hembra,Grande,Adulto
791,Axuni,Hembra,Grande,Adulto
792,Isu,Hembra,Chico,Adulto
793,Xuwe,Hembra,Grande,Adulto
794,Xola,Hembra,Mediano,Adulto
795,Okochí,Macho,Mediano,Adulto
796,Chicha,Hembra,Mediano,Adulto
797,Uíchu,Hembra,Mediano,Adulto
798,Amaxac,Hembra,Mediano,Geriatrico
799,Apaxco,Hembra,Mediano,Adulto
800,Ameyal,Macho,Grande,Adulto
802,Capulhuac,Hembra,Mediano,Adulto
803,Katha,Hembra,Grande,Adulto
804,Yuu,Hembra,Mediano,Adulto
805,Ocote,Macho,Grande,Adulto
806,Chicalot,Macho,Chico,Adulto
808,Izhuatl,Hembra,Chico,Adulto
809,Yaxhe,Hembra,Mediano,Adulto
811,Tetl,Macho,Grande,Adulto
812,Iczotl,Macho,Mediano,Adulto
813,Yuxi,Hembra,Mediano,Adulto
814,Metl,Hembra,Mediano,Geriatrico
815,Maiz,Hembra,Grande,Geriatrico
816,Bicaa,Macho,Grande,Adulto
817,Ayotli,Macho,Grande,Geriatrico
818,Pich,Hembra,Chico,Adulto
819,Pucte,Macho,Mediano,Geriatrico
820,Nicte,Hembra,Grande,Geriatrico
821,Huaxi,Hembra,Mediano,Adulto
822,Teonochtli,Hembra,Mediano,Adulto
824,Tollin,Hembra,Mediano,Adulto
825,Xonotl,Hembra,Mediano,Adulto
826,Suki,Hembra,Grande,Adulto
827,Amatl,Hembra,Mediano,Adulto
829,Yaro,Hembra,Mediano,Adulto
830,Xaba,Macho,Grande,Adulto
831,Yarin,Hembra,Mediano,Adulto
832,Oztotl,Hembra,Mediano,Adulto
833,Motz,Macho,Mediano,Geriatrico
834,Xopa,Macho,Mediano,Adulto
835,Tlapetlalli,Macho,Grande,Adulto
836,Tepotz,Hembra,Mediano,Adulto
837,Huracan,Macho,Mediano,Adulto
838,Uaxac,Macho,Grande,Adulto
839,Guigu,Hembra,Mediano,Adulto
840,Cozobi,Hembra,Mediano,Geriatrico
841,Yeeb,Macho,Mediano,Adulto
842,Timilpan,Hembra,Mediano,Adulto
843,Amanalli,Hembra,Mediano,Adulto
844,Tlatlaya,Hembra,Mediano,Adulto
845,Tiñu,Hembra,Mediano,Adulto
846,Tonatico,Macho,Grande,Adulto
847,Za,Macho,Chico,Adulto
848,Atlahua,Macho,Mediano,Adulto
849,Vallechalco,Hembra,Mediano,Geriatrico
851,Villaapan,Hembra,Mediano,Geriatrico
852,VillaXochitl,Macho,Mediano,Adulto
853,Kuee,Hembra,Mediano,Adulto
854,Auanda,Hembra,Mediano,Adulto
855,Miel,Macho,Grande,Adulto
